number,value,datetime_start,datetime_complete,duration,params_discount_factor,params_epsilon_decay_episodes,params_learning_rate,params_num_bins,params_reward_shaping_scale,state
0,58.52,2026-02-06 15:38:22.233314,2026-02-06 15:38:26.397823,0 days 00:00:04.164509,0.9576449133816793,799,0.16232524516199773,17,0.23817143353837988,COMPLETE
1,86.28,2026-02-06 15:38:26.398825,2026-02-06 15:38:31.525807,0 days 00:00:05.126982,0.9846955563120062,801,0.07927791772775701,19,0.023940066920367868,COMPLETE
2,30.52,2026-02-06 15:38:31.525807,2026-02-06 15:38:34.105298,0 days 00:00:02.579491,0.9589094233931479,412,0.02782210783240493,18,0.24277836451887863,COMPLETE
3,27.46,2026-02-06 15:38:34.105298,2026-02-06 15:38:36.470751,0 days 00:00:02.365453,0.9642702278697041,632,0.08969371374430485,14,0.08301813831028905,COMPLETE
4,173.28,2026-02-06 15:38:36.471898,2026-02-06 15:38:46.529564,0 days 00:00:10.057666,0.9723474292266348,566,0.2525040999945042,11,0.04347852655649004,COMPLETE
5,105.68,2026-02-06 15:38:46.529564,2026-02-06 15:38:53.006514,0 days 00:00:06.476950,0.9522760702232799,793,0.3183668653293452,14,0.05792170771800634,COMPLETE
6,185.98,2026-02-06 15:38:53.007514,2026-02-06 15:38:58.713404,0 days 00:00:05.705890,0.9973159696206534,1149,0.2508670437225466,8,0.05092578968494997,COMPLETE
7,490.18,2026-02-06 15:38:58.714323,2026-02-06 15:39:02.197381,0 days 00:00:03.483058,0.9715674721932405,884,0.32719099228425524,9,0.08310730460160895,COMPLETE
8,40.74,2026-02-06 15:39:02.197973,2026-02-06 15:39:04.521212,0 days 00:00:02.323239,0.9626802190984008,1110,0.06637452924101596,8,0.12884245842670483,COMPLETE
9,293.94,2026-02-06 15:39:04.522767,2026-02-06 15:39:08.488255,0 days 00:00:03.965488,0.9590578683207508,747,0.27175846805451315,14,0.08481065826145862,COMPLETE
10,37.52,2026-02-06 15:39:08.489257,2026-02-06 15:39:11.355188,0 days 00:00:02.865931,0.9813643366209103,217,0.3910422536200725,11,0.17797000238118332,COMPLETE
11,114.12,2026-02-06 15:39:11.356591,2026-02-06 15:39:15.410695,0 days 00:00:04.054104,0.9710821574502311,984,0.33829203162802113,11,0.1089992575525944,COMPLETE
12,130.06,2026-02-06 15:39:15.410695,2026-02-06 15:39:20.842877,0 days 00:00:05.432182,0.9790958225844087,935,0.30212585164119604,16,0.16587778713540413,COMPLETE
13,34.18,2026-02-06 15:39:20.843881,2026-02-06 15:39:23.318823,0 days 00:00:02.474942,0.9503394125990355,532,0.1698344661716682,20,0.09339505019668824,COMPLETE
14,104.2,2026-02-06 15:39:23.319838,2026-02-06 15:39:28.735840,0 days 00:00:05.416002,0.9679174068451563,953,0.38818729131724666,10,0.13762176959010503,COMPLETE
15,114.76,2026-02-06 15:39:28.735840,2026-02-06 15:39:34.906849,0 days 00:00:06.171009,0.9925083279265197,714,0.2518468634365199,15,0.012767909875246189,COMPLETE
16,57.62,2026-02-06 15:39:34.907854,2026-02-06 15:39:38.724457,0 days 00:00:03.816603,0.9743571842869317,441,0.18648946364663105,13,0.0771978340648731,COMPLETE
17,389.58,2026-02-06 15:39:38.724457,2026-02-06 15:39:42.853236,0 days 00:00:04.128779,0.9660879390832839,1035,0.29228771153458527,13,0.13509231366494712,COMPLETE
18,500.0,2026-02-06 15:39:42.853236,2026-02-06 15:39:48.936917,0 days 00:00:06.083681,0.9863165063678174,1043,0.351159658203541,9,0.1903872219557893,COMPLETE
19,467.54,2026-02-06 15:39:48.938640,2026-02-06 15:39:52.789752,0 days 00:00:03.851112,0.988270893562711,883,0.3458086294035526,9,0.1987906892247996,COMPLETE
20,76.14,2026-02-06 15:39:52.790752,2026-02-06 15:39:57.900919,0 days 00:00:05.110167,0.9782253607682156,1178,0.35887682561576206,10,0.21185465670505613,COMPLETE
21,467.36,2026-02-06 15:39:57.900919,2026-02-06 15:40:01.346441,0 days 00:00:03.445522,0.9867988645646137,900,0.3564238345573865,9,0.19538863761464725,COMPLETE
22,296.74,2026-02-06 15:40:01.347715,2026-02-06 15:40:05.101912,0 days 00:00:03.754197,0.9903768213079325,1070,0.32924525893176704,9,0.21518197306631845,COMPLETE
23,149.78,2026-02-06 15:40:05.101912,2026-02-06 15:40:11.607465,0 days 00:00:06.505553,0.9959710276623892,889,0.2194651226923877,12,0.15966684317670496,COMPLETE
24,497.66,2026-02-06 15:40:11.608466,2026-02-06 15:40:14.886527,0 days 00:00:03.278061,0.98635415698711,862,0.39971282289905563,9,0.19051766232114167,COMPLETE
25,134.84,2026-02-06 15:40:14.887528,2026-02-06 15:40:21.510697,0 days 00:00:06.623169,0.98187754806238,1022,0.3869463646994623,8,0.11553299417883948,COMPLETE
26,101.88,2026-02-06 15:40:21.511429,2026-02-06 15:40:26.964390,0 days 00:00:05.452961,0.993456953248946,860,0.3738562067507624,10,0.1538887084276846,COMPLETE
27,235.94,2026-02-06 15:40:26.964882,2026-02-06 15:40:30.189902,0 days 00:00:03.225020,0.9783823856184547,654,0.30207404563923146,12,0.18559156508970368,COMPLETE
28,408.44,2026-02-06 15:40:30.190601,2026-02-06 15:40:34.252790,0 days 00:00:04.062189,0.9833553200577003,994,0.36358961021910524,9,0.22312633955584,COMPLETE
29,174.82,2026-02-06 15:40:34.254104,2026-02-06 15:40:41.045301,0 days 00:00:06.791197,0.9706383063125807,817,0.14112218647853958,10,0.22598860928301767,COMPLETE
30,174.34,2026-02-06 15:40:41.045301,2026-02-06 15:40:47.491158,0 days 00:00:06.445857,0.9758743240334102,1080,0.3197234703212751,8,0.1526342141121376,COMPLETE
31,376.42,2026-02-06 15:40:47.492022,2026-02-06 15:40:51.921862,0 days 00:00:04.429840,0.988225661533874,859,0.349806741490056,9,0.19795244460578484,COMPLETE
32,341.18,2026-02-06 15:40:51.923454,2026-02-06 15:40:55.215491,0 days 00:00:03.292037,0.9873788905899097,775,0.39968699540577934,9,0.2474707013277076,COMPLETE
33,333.88,2026-02-06 15:40:55.216980,2026-02-06 15:41:00.191749,0 days 00:00:04.974769,0.9845204697647625,934,0.2821725342232593,11,0.2024085391872001,COMPLETE
34,154.2,2026-02-06 15:41:00.192765,2026-02-06 15:41:07.617198,0 days 00:00:07.424433,0.9904042384440495,831,0.33414078113230516,12,0.178947319532658,COMPLETE
35,119.18,2026-02-06 15:41:07.618198,2026-02-06 15:41:13.911219,0 days 00:00:06.293021,0.9936496538358404,682,0.22676194608780845,10,0.17264802090728357,COMPLETE
36,486.24,2026-02-06 15:41:13.911832,2026-02-06 15:41:17.125644,0 days 00:00:03.213812,0.985504252476187,740,0.3701391276097003,17,0.23752954034096418,COMPLETE
37,223.68,2026-02-06 15:41:17.126644,2026-02-06 15:41:20.175438,0 days 00:00:03.048794,0.9754972729704351,586,0.37407744464041154,17,0.2285259905347993,COMPLETE
38,101.72,2026-02-06 15:41:20.176387,2026-02-06 15:41:24.870999,0 days 00:00:04.694612,0.9856601889477892,740,0.12932042249887177,19,0.0655021018813487,COMPLETE
39,39.82,2026-02-06 15:41:24.871778,2026-02-06 15:41:26.983740,0 days 00:00:02.111962,0.9985579055255542,1129,0.020099602675790945,17,0.2369233147174779,COMPLETE
40,192.72,2026-02-06 15:41:26.983740,2026-02-06 15:41:31.446842,0 days 00:00:04.463102,0.9805917919099096,783,0.2699968050847194,18,0.03410899356621083,COMPLETE
41,182.86,2026-02-06 15:41:31.447845,2026-02-06 15:41:38.737768,0 days 00:00:07.289923,0.9898123806376353,897,0.3480503033033888,8,0.20987622393538535,COMPLETE
42,173.0,2026-02-06 15:41:38.738772,2026-02-06 15:41:42.937964,0 days 00:00:04.199192,0.9837977351383489,974,0.3094950586708874,9,0.24260964065927818,COMPLETE
43,166.92,2026-02-06 15:41:42.938964,2026-02-06 15:41:49.625424,0 days 00:00:06.686460,0.9957024912068071,833,0.3741653469332249,16,0.18962141953417364,COMPLETE
44,189.82,2026-02-06 15:41:49.626425,2026-02-06 15:41:54.264549,0 days 00:00:04.638124,0.9891995334428133,619,0.33651127225465516,8,0.10654638136992865,COMPLETE
45,95.52,2026-02-06 15:41:54.265551,2026-02-06 15:42:00.799925,0 days 00:00:06.534374,0.9613141710038929,210,0.39903376979739263,11,0.23149345440788893,COMPLETE
46,145.58,2026-02-06 15:42:00.800857,2026-02-06 15:42:03.473213,0 days 00:00:02.672356,0.9919546113975257,708,0.3734529153227336,13,0.21605966789938968,COMPLETE
47,118.34,2026-02-06 15:42:03.474670,2026-02-06 15:42:09.259252,0 days 00:00:05.784582,0.9858699082657192,1030,0.3181079654881977,10,0.14494165495517594,COMPLETE
48,469.6,2026-02-06 15:42:09.260263,2026-02-06 15:42:12.929567,0 days 00:00:03.669304,0.9692815879803082,922,0.34168939968529777,15,0.166382598915273,COMPLETE
49,51.32,2026-02-06 15:42:12.930094,2026-02-06 15:42:15.602945,0 days 00:00:02.672851,0.9687522487650475,930,0.05926227582921084,15,0.12444918785409019,COMPLETE
50,112.98,2026-02-06 15:42:15.602945,2026-02-06 15:42:23.596373,0 days 00:00:07.993428,0.9545784721803744,294,0.27087243695620544,15,0.1697697961179982,COMPLETE
51,132.78,2026-02-06 15:42:23.597743,2026-02-06 15:42:29.486973,0 days 00:00:05.889230,0.9720355722304727,754,0.34155721655919763,16,0.18544547778070486,COMPLETE
52,150.5,2026-02-06 15:42:29.487973,2026-02-06 15:42:36.515711,0 days 00:00:07.027738,0.9648825768935901,862,0.3840027293839353,14,0.20139710249016485,COMPLETE
