number,value,datetime_start,datetime_complete,duration,params_discount_factor,params_epsilon_decay_episodes,params_learning_rate,params_num_bins,params_reward_shaping_scale,state
0,37.12,2026-02-06 15:29:41.853822,2026-02-06 15:29:44.951810,0 days 00:00:03.097988,0.9576449133816793,799,0.10614422733489338,14,0.23817143353837988,COMPLETE
1,64.86,2026-02-06 15:29:44.953139,2026-02-06 15:29:49.349671,0 days 00:00:04.396532,0.9846955563120062,801,0.05587873967732661,15,0.023940066920367868,COMPLETE
2,75.68,2026-02-06 15:29:49.351154,2026-02-06 15:29:53.913059,0 days 00:00:04.561905,0.9589094233931479,412,0.024734433688034563,15,0.24277836451887863,COMPLETE
3,31.2,2026-02-06 15:29:53.914063,2026-02-06 15:29:56.389881,0 days 00:00:02.475818,0.9642702278697041,632,0.06218303726628978,12,0.08301813831028905,COMPLETE
4,182.82,2026-02-06 15:29:56.390761,2026-02-06 15:30:00.752322,0 days 00:00:04.361561,0.9723474292266348,566,0.16072616578614726,10,0.04347852655649004,COMPLETE
5,213.3,2026-02-06 15:30:00.752322,2026-02-06 15:30:06.324479,0 days 00:00:05.572157,0.9522760702232799,793,0.20059047112039313,12,0.05792170771800634,COMPLETE
6,128.78,2026-02-06 15:30:06.325486,2026-02-06 15:30:14.163693,0 days 00:00:07.838207,0.9973159696206534,1149,0.1597353159373308,8,0.05092578968494997,COMPLETE
7,91.04,2026-02-06 15:30:14.164693,2026-02-06 15:30:19.780065,0 days 00:00:05.615372,0.9715674721932405,884,0.20593139006678607,8,0.08310730460160895,COMPLETE
8,100.98,2026-02-06 15:30:19.781065,2026-02-06 15:30:23.360480,0 days 00:00:03.579415,0.9626802190984008,1110,0.04806879401429913,8,0.12884245842670483,COMPLETE
9,348.26,2026-02-06 15:30:23.360480,2026-02-06 15:30:27.545793,0 days 00:00:04.185313,0.9590578683207508,747,0.17238012540141584,12,0.08481065826145862,COMPLETE
10,31.58,2026-02-06 15:30:27.546801,2026-02-06 15:30:30.191648,0 days 00:00:02.644847,0.9819414609881307,217,0.2414325237426641,10,0.1750121646908141,COMPLETE
11,66.88,2026-02-06 15:30:30.192649,2026-02-06 15:30:34.919461,0 days 00:00:04.726812,0.950371346729741,945,0.20177984080586353,12,0.11530297784034549,COMPLETE
12,29.46,2026-02-06 15:30:34.920503,2026-02-06 15:30:37.182578,0 days 00:00:02.262075,0.9516569264411033,517,0.19973584016296325,13,0.0804959436722431,COMPLETE
13,154.56,2026-02-06 15:30:37.183581,2026-02-06 15:30:43.105696,0 days 00:00:05.922115,0.9667922881078475,984,0.12517660597921676,10,0.17369179553875225,COMPLETE
14,119.1,2026-02-06 15:30:43.105696,2026-02-06 15:30:49.572642,0 days 00:00:06.466946,0.9555535442260695,729,0.24211409059684985,11,0.015840545082794644,COMPLETE
15,54.96,2026-02-06 15:30:49.573331,2026-02-06 15:30:53.125756,0 days 00:00:03.552425,0.9788943913744712,387,0.17378393159973451,13,0.10185223720732581,COMPLETE
16,32.28,2026-02-06 15:30:53.126294,2026-02-06 15:30:55.402446,0 days 00:00:02.276152,0.9896693669993026,711,0.09966374853171431,12,0.057272242535551715,COMPLETE
