number,value,datetime_start,datetime_complete,duration,params_discount_factor,params_epsilon_decay_episodes,params_learning_rate,params_num_bins,params_reward_shaping_scale,state
0,35.84,2026-02-06 15:19:20.553830,2026-02-06 15:19:22.526169,0 days 00:00:01.972339,0.9793342657256547,471,0.16236203565420876,22,0.18835860661662318,COMPLETE
1,25.38,2026-02-06 15:19:22.528373,2026-02-06 15:19:23.816526,0 days 00:00:01.288153,0.9794546355754172,1079,0.0967983561008608,10,0.2192205135282351,COMPLETE
2,48.34,2026-02-06 15:19:23.816526,2026-02-06 15:19:25.614144,0 days 00:00:01.797618,0.9604046164232355,500,0.05617534828874074,22,0.211461807384097,COMPLETE
3,23.26,2026-02-06 15:19:25.615142,2026-02-06 15:19:27.007389,0 days 00:00:01.392247,0.9711653059134636,620,0.10502135295603016,13,0.14069397927541472,COMPLETE
4,124.5,2026-02-06 15:19:27.008531,2026-02-06 15:19:30.542344,0 days 00:00:03.533813,0.9679517303213908,802,0.23355586841671383,11,0.08719326916310018,COMPLETE
5,104.84,2026-02-06 15:19:30.543344,2026-02-06 15:19:35.512174,0 days 00:00:04.968830,0.97902831387424,351,0.28555278841790405,12,0.13827392083513068,COMPLETE
6,84.2,2026-02-06 15:19:35.513172,2026-02-06 15:19:37.727997,0 days 00:00:02.214825,0.9964953913254133,1363,0.2322634555704315,12,0.03496186638661429,COMPLETE
7,104.1,2026-02-06 15:19:37.729297,2026-02-06 15:19:40.885422,0 days 00:00:03.156125,0.9835274182990956,784,0.29251920443493834,13,0.04246458622146829,COMPLETE
8,45.88,2026-02-06 15:19:40.886422,2026-02-06 15:19:42.726495,0 days 00:00:01.840073,0.9945566997018603,584,0.08661147045343365,16,0.027909359856500233,COMPLETE
9,94.48,2026-02-06 15:19:42.727495,2026-02-06 15:19:45.927906,0 days 00:00:03.200411,0.9767888036878207,503,0.2487566853061946,14,0.13961564487089648,COMPLETE
10,107.66,2026-02-06 15:19:45.928905,2026-02-06 15:19:49.155061,0 days 00:00:03.226156,0.9508801319051261,1004,0.33670635811413197,18,0.07911496015792718,COMPLETE
11,86.22,2026-02-06 15:19:49.156061,2026-02-06 15:19:52.082868,0 days 00:00:02.926807,0.9531778126830546,1008,0.32288313869470087,18,0.08487480060887705,COMPLETE
12,108.08,2026-02-06 15:19:52.082868,2026-02-06 15:19:55.845849,0 days 00:00:03.762981,0.9643196848095973,872,0.3481822566558928,19,0.08574649094237277,COMPLETE
13,65.46,2026-02-06 15:19:55.845849,2026-02-06 15:19:58.135012,0 days 00:00:02.289163,0.9667325913206243,755,0.179750891673254,19,0.09224498408271188,COMPLETE
14,160.6,2026-02-06 15:19:58.136012,2026-02-06 15:20:01.771817,0 days 00:00:03.635805,0.9619172775531498,1190,0.2249518617594549,20,0.1088415618547415,COMPLETE
15,83.14,2026-02-06 15:20:01.771817,2026-02-06 15:20:05.083682,0 days 00:00:03.311865,0.9583889910254028,1308,0.21024441375911956,10,0.17456486987605746,COMPLETE
16,77.18,2026-02-06 15:20:05.084682,2026-02-06 15:20:08.527331,0 days 00:00:03.442649,0.9701065377313729,1191,0.2569683869358569,16,0.10986885459000777,COMPLETE
17,56.0,2026-02-06 15:20:08.528331,2026-02-06 15:20:10.385514,0 days 00:00:01.857183,0.9580316025256261,870,0.14557837288354883,20,0.0650974144887393,COMPLETE
18,112.48,2026-02-06 15:20:10.385514,2026-02-06 15:20:13.327032,0 days 00:00:02.941518,0.9885111400922335,1203,0.20727455421988378,21,0.11549752176355893,COMPLETE
19,54.98,2026-02-06 15:20:13.327032,2026-02-06 15:20:14.945035,0 days 00:00:01.618003,0.9650204514026163,687,0.277467085103922,15,0.24293206597120504,COMPLETE
20,31.76,2026-02-06 15:20:14.946189,2026-02-06 15:20:16.266619,0 days 00:00:01.320430,0.973089453242233,949,0.13655971471713918,17,0.16442010681292715,COMPLETE
21,65.2,2026-02-06 15:20:16.267619,2026-02-06 15:20:17.957955,0 days 00:00:01.690336,0.9874236223508278,1246,0.20377694985078765,21,0.11193189265830294,COMPLETE
22,84.5,2026-02-06 15:20:17.958959,2026-02-06 15:20:20.646374,0 days 00:00:02.687415,0.9893371767802612,1163,0.2270054860545098,20,0.11843183139938568,COMPLETE
23,50.94,2026-02-06 15:20:20.647370,2026-02-06 15:20:22.332311,0 days 00:00:01.684941,0.9684898634160128,1116,0.18344729127737963,21,0.05807950125397965,COMPLETE
24,59.06,2026-02-06 15:20:22.333311,2026-02-06 15:20:24.796924,0 days 00:00:02.463613,0.9629394479566561,1370,0.22210684025167754,20,0.1197470732113859,COMPLETE
25,137.92,2026-02-06 15:20:24.797923,2026-02-06 15:20:29.424219,0 days 00:00:04.626296,0.9542630924483854,1270,0.2505247804269651,18,0.15604906432901688,COMPLETE
26,129.1,2026-02-06 15:20:29.425218,2026-02-06 15:20:33.972913,0 days 00:00:04.547695,0.9532644032647515,1294,0.2552770519662532,17,0.15994168071054396,COMPLETE
27,83.44,2026-02-06 15:20:33.973924,2026-02-06 15:20:36.424416,0 days 00:00:02.450492,0.954090817727727,1283,0.3128129472236106,17,0.15962217959468838,COMPLETE
28,68.66,2026-02-06 15:20:36.425417,2026-02-06 15:20:40.432425,0 days 00:00:04.007008,0.9558897528653354,1399,0.2634986090063936,18,0.19535594669151146,COMPLETE
