trial,mean_reward,learning_rate,n_steps,gamma,ent_coef,clip_range
2,500.0,0.000684792009557478,256,0.9500582921874066,0.0001402497132660034,0.11393512381599932
8,500.0,0.0038842777547031426,512,0.9624714355131871,0.016236379661338295,0.2416644775485848
5,500.0,0.008105016126411584,32,0.9187591590420046,2.072960479129113e-08,0.19759909922897934
24,500.0,0.006117281631243498,128,0.9718725836161249,0.0011093371063061112,0.24093412214857923
21,500.0,0.003759749910808471,512,0.9660964711407228,0.01954111102964866,0.22492335880628986
18,500.0,0.00036239486423630626,32,0.9629129587867741,1.84105236712955e-06,0.1500345772885788
20,500.0,0.004591798687537927,512,0.9406927290923718,2.8143144984257606e-05,0.2736014881145983
13,500.0,0.0018362839120451822,32,0.9611883531872796,0.001005585913834842,0.2937569322109723
12,500.0,0.009589317138936449,256,0.9274917817587669,3.2389293824745336e-07,0.20275479812132705
22,471.8,0.003392631822950371,512,0.9735861910812307,0.005943899702693407,0.25264498191078333
14,397.8,0.0009675768505965227,256,0.9200418769649479,0.00331561778071143,0.18001626182027475
23,389.2,0.0012460145760560836,512,0.9552978380394246,0.07893466417609109,0.34419811167334957
15,376.8,0.00018561860486787592,512,0.9994808279137054,1.5791641980277273e-07,0.10059403116528816
19,314.0,0.001756053553296477,256,0.9160624460727599,7.848203760611608e-08,0.1738698646859092
11,259.6,0.005332793198263565,32,0.9260086420233937,7.97666763022235e-07,0.10395301973900214
10,198.2,0.0005841974892420603,256,0.9296264261615411,0.033576265734855365,0.3145508836590386
7,195.8,0.0020736445177905022,64,0.9070419869651829,3.230428252240957e-06,0.13476071785753893
9,194.2,2.284455685002053e-05,128,0.9414280732270726,1.5063777323554413e-08,0.13236742809799135
6,171.2,0.00014656553886225324,32,0.9792964710396893,3.3254812672742136e-08,0.3960660809801553
4,162.2,2.32335035153901e-05,64,0.9506418507347023,6.713854967599211e-05,0.15545633665765812
17,150.2,5.8584382330119536e-05,256,0.9013514329323334,0.00017340621259706552,0.26921736386033185
16,123.6,0.009956055660659066,32,0.9389113140894941,9.895501592236224e-06,0.2126079015227672
3,119.8,0.0006647135865318024,128,0.9093006430478693,0.0006160715952774535,0.23204574812188042
1,94.0,1.1527987128232396e-05,16,0.9511111125274635,1.0558813779064815e-05,0.1873687420594126
0,24.8,0.0001329291894316216,16,0.985913780185174,0.00016136341713591298,0.3124217733388137
