trial,mean_reward,learning_rate,n_steps,gamma,ent_coef,clip_range
5,500.0,0.008105016126411584,32,0.9187591590420046,2.072960479129113e-08,0.19759909922897934
2,500.0,0.000684792009557478,256,0.9500582921874066,0.0001402497132660034,0.11393512381599932
8,500.0,0.0038842777547031426,512,0.9624714355131871,0.016236379661338295,0.2416644775485848
4,205.8,2.32335035153901e-05,64,0.9506418507347023,6.713854967599211e-05,0.15545633665765812
6,180.6,0.00014656553886225324,32,0.9792964710396893,3.3254812672742136e-08,0.3960660809801553
7,168.2,0.0020736445177905022,64,0.9070419869651829,3.230428252240957e-06,0.13476071785753893
9,143.0,2.284455685002053e-05,128,0.9414280732270726,1.5063777323554413e-08,0.13236742809799135
3,123.6,0.0006647135865318024,128,0.9093006430478693,0.0006160715952774535,0.23204574812188042
1,81.8,1.1527987128232396e-05,16,0.9511111125274635,1.0558813779064815e-05,0.1873687420594126
0,23.6,0.0001329291894316216,16,0.985913780185174,0.00016136341713591298,0.3124217733388137
